we trust them with our smiles _num_ % and hope to come here always . <eos>
a gas station , convenience store , and a mcdonalds all rolled into one . <eos>
very interesting sweet and sour had kind of a spice to it but good . <eos>
this is a must try if you live in scottsdale - they also deliver ! <eos>
every item we tried was prepared perfectly , bursting with flavor and piping hot . <eos>
my fiancee and i visited this new establishment after watching a movie at amc . <eos>
their hummus with veggies is a very good portion for _num_ as well . <eos> <pad>
staff so friendly and professional and it 's never feels like dentist office ! <eos> <pad>
george is a most gracious host and is very proud of his restaurant . <eos> <pad>
i would recommend george and son 's to friends visiting the scottsdale area . <eos> <pad>
although not authentic , george & son 's has pretty good chinese food . <eos> <pad>
this is one of the best chinese food places in all of scottsdale . <eos> <pad>
never had an empty glass , server always made sure we were happy . <eos> <pad>
and you get nice decor and pleasant service while you 're at it . <eos> <pad>
the decor is very modern and clean , and the food is delish ! <eos> <pad>
szechuan cuisine should have a little more kick , but it was good . <eos> <pad>
g & s has become a welcome part of my weekly dining rotation . <eos> <pad>
dentist and staff have been very professional , informative , and friendly . <eos> <pad> <pad>
the place is orderly , clean and the staff was very friendly . <eos> <pad> <pad>
my family has eaten here a few times for dinner as well . <eos> <pad> <pad>
it was served as a first course but expertly prepared and cooked . <eos> <pad> <pad>
george also has some excellent soups to try ... but try everything . <eos> <pad> <pad>
the pork itself was n't my favorite but it was good . <eos> <pad> <pad> <pad>
it 's been worth the drive and i 'll definitely return ! <eos> <pad> <pad> <pad>
the most important thing , of course , is the food . <eos> <pad> <pad> <pad>
love the cantonese chow mein and the festival shrimp is awesome ! <eos> <pad> <pad> <pad>
the breakfast sandwiches are also delicious and not too expensive . <eos> <pad> <pad> <pad> <pad>
consistently great care , friendly staff could n't recommend enough . <eos> <pad> <pad> <pad> <pad>
good prices , and a very comfortable , family-friendly atmosphere . <eos> <pad> <pad> <pad> <pad>
the hot and sour soup is both original and memorable . <eos> <pad> <pad> <pad> <pad>
