we 'll have lost a car and will never go back here ! <eos> <eos> <eos> <eos> my time at home . <eos> <eos> <eos> <eos> in my life . <eos> <eos> <eos> <eos> my time at home . <eos> <eos> <eos> in my family . <eos> <eos> <eos> <eos>
a complete rip , and are a joke , especially a new day ? <eos> <eos> <eos> , my own room . <eos> <eos> <eos> <eos> a piece of them . <eos> <eos> <eos> a car . <eos> <eos> . <eos> <eos> of a all . <eos> <eos> . <eos>
he looked very little too salty and that had a little to it . <eos> <eos> <eos> <eos> to a taste . <eos> <eos> <eos> . <eos> <eos> of the sauce . <eos> <eos> <eos> to a taste . <eos> <eos> <eos> . <eos> <eos> <eos> to a taste .
this is a second time that 's _num_ people in `` no '' '' ! <eos> <eos> <eos> <eos> that is their job . <eos> <eos> <eos> <eos> on that . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
first time i ordered steak ! <eos> with a little potato and barely cooked . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> with fries . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
my husband and i went on a friday night with this company at least . <eos> <eos> <eos> on my bill . <eos> <eos> <eos> . <eos> <eos> on a friday . <eos> <eos> . <eos> <eos> on my bill at this point . <eos> <eos> for a friday night
their beans with a cheese sauce for a _num_ minutes of fries were cold . <eos> <eos> <eos> with a sauce . <eos> <eos> <eos> . <eos> <eos> a sauce . <eos> <eos> <eos> with a chicken . <eos> <eos> . <eos> <eos> a sauce . <eos> <eos> <eos> <eos>
but i do n't know what happened to me but this place has gone downhill ! <eos> <eos> <eos> and was really rude . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> but really horrible attitude . <eos> <eos> <eos> <eos> and really unprofessional . <eos> <eos> <eos>
which is a disaster by far and was a little of course in this . <eos> <eos> <eos> in a row . <eos> <eos> <eos> . <eos> <eos> in a room . <eos> <eos> <eos> was a bit . <eos> <eos> . <eos> <eos> was a disaster . <eos> <eos>
i would recommend recommend and anyone to go by any different place . <eos> <eos> <eos> . <eos> <eos> to this store . <eos> <eos> <eos> to use this store . <eos> <eos> to the worst hotel . <eos> <eos> <eos> to my house hotel . <eos> <eos> <eos> to
overall , not authentic italian food - that 's a little average food . <eos> <eos> <eos> with a bad salad . <eos> <eos> <eos> in a salad . <eos> <eos> . <eos> <eos> with food . <eos> <eos> <eos> with a bad taste like chicken . <eos> <eos> <eos>
this is the worst chinese food that you have been in here for some price . <eos> <eos> <eos> of the menu . <eos> <eos> <eos> <eos> in the menu . <eos> <eos> <eos> . <eos> <eos> of their food . <eos> <eos> <eos> on that . <eos> <eos> <eos>
would not order any server or anything else was told we did anything . <eos> <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos>
and you 're busy looking at least and you will be done it . <eos> <eos> <eos> <eos> it in the place . <eos> <eos> <eos> it at the counter . <eos> <eos> <eos> and it at least . <eos> <eos> <eos> it in the place . <eos> <eos> <eos>
the place is a mess up and the food is $ _num_ for _num_ . <eos> <eos> <eos> <eos> and a $ _num_ . <eos> <eos> <eos> <eos> is very gross . <eos> <eos> <eos> in a $ _num_ . <eos> <eos> <eos> , it was very small . <eos>
maybe if a few star reviews , it was ok , but nothing . <eos> <eos> <eos> <eos> to taste like it . <eos> <eos> <eos> to be served . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos>
( highly shop in a different review that 's the same day . <eos> <eos> <eos> . <eos> <eos> on . <eos> <eos> <eos> a month . <eos> <eos> . <eos> <eos> on my meal . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> with a refund .
and i am never a couple of time , and not impressed . <eos> <eos> <eos> <eos> , not very impressed . <eos> <eos> <eos> . <eos> <eos> and not very impressed . <eos> <eos> <eos> , and not impressed . <eos> <eos> <eos> . <eos> <eos> and not very
i 'm the drive to place , but the food was not very good . <eos> <eos> , the place was very dirty . <eos> <eos> , not very tasty . <eos> <eos> <eos> to the food was not . <eos> <eos> <eos> to the food was awful . <eos>
my family has been here a few times for some things we ordered . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> very bad . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> .
it was all that the hot and looked hot and tasted dry . <eos> <eos> <eos> and a chicken dry . <eos> <eos> . <eos> <eos> and it tasted dry . <eos> <eos> and the rice tasted dry . <eos> <eos> <eos> and tasted like dry . <eos> <eos> <eos>
also has a better options around , but no one else ... nothing . <eos> <eos> <eos> <eos> about it . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos>
the only thing was good and it was n't that bad . <eos> <eos> <eos> it was n't good . <eos> <eos> <eos> it was n't edible . <eos> <eos> <eos> it was n't good . <eos> <eos> <eos> it was n't that . <eos> <eos> <eos> it was n't
would give it _num_ stars to go and i wo n't return ! <eos> <eos> to the first time again . <eos> <eos> <eos> <eos> for this place . <eos> <eos> <eos> for the last week . <eos> <eos> <eos> i went to this place . <eos> <eos> for my
the most part of that , is the food , etc . <eos> <eos> <eos> <eos> of the sauce . <eos> <eos> <eos> <eos> , the sauce was a bit . <eos> <eos> of the sauce . <eos> <eos> <eos> . <eos> <eos> <eos> the sauce was . <eos> <eos>
( the first time ( $ _num_ ) and the bill was awesome . <eos> <eos> <eos> <eos> the bill was $ _num_ . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> ) . <eos> <eos> <eos> . <eos> <eos> ) . <eos> <eos> <eos> . <eos>
the other dishes were decent but not too sweet . <eos> <eos> <eos> . <eos> <eos> very bland . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> and not taste . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos>
no one ever seem to be great or any way . <eos> <eos> <eos> to be great . <eos> <eos> <eos> . <eos> <eos> of too . <eos> <eos> <eos> to be great . <eos> <eos> <eos> . <eos> <eos> of too . <eos> <eos> to be great . <eos>
all of the place , very dirty , very old inside . <eos> <eos> <eos> to a table . <eos> <eos> <eos> , a drink . <eos> <eos> <eos> . <eos> <eos> with a table . <eos> <eos> <eos> , a little dry . <eos> <eos> <eos> , a horrible
the shrimp and chicken came out and tasted gross . <eos> <eos> <eos> and my husband ordered . <eos> <eos> <eos> and it was extremely soggy . <eos> <eos> and ordered . <eos> <eos> . <eos> <eos> and ordered . <eos> <eos> <eos> and it was soggy . <eos> <eos>
the worst experience was awful , to be desired , etc . <eos> <eos> to be with . <eos> <eos> . <eos> <eos> , not impressed . <eos> <eos> <eos> , not impressed . <eos> <eos> . <eos> <eos> <eos> , not to impressed . <eos> <eos> . <eos> <eos>
and i left the staff , and still were incredibly slow . <eos> <eos> <eos> and not fresh . <eos> <eos> <eos> and very slow . <eos> <eos> . <eos> <eos> and not fresh . <eos> <eos> <eos> and not fresh . <eos> <eos> . <eos> <eos> <eos> and not
the staff are completely wrong when i went back . <eos> <eos> <eos> <eos> my service . <eos> <eos> . <eos> <eos> <eos> the time . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
for the price they put up on the bill . <eos> <eos> <eos> for the shrimp . <eos> <eos> . <eos> <eos> for the shrimp . <eos> <eos> <eos> for the shrimp . <eos> <eos> . <eos> <eos> for the shrimp . <eos> <eos> <eos> for the shrimp . <eos>
( _num_ ) chicken ... bland ... bland . <eos> <eos> <eos> ) the chicken sauce ... . <eos> <eos> <eos> . <eos> <eos> ) . <eos> <eos> <eos> bland chicken . <eos> <eos> <eos> . <eos> <eos> ) bland . <eos> <eos> <eos> . <eos> <eos> ) . <eos>
food was really good , the service was so . <eos> <eos> <eos> , the service was really . <eos> <eos> <eos> , as was . <eos> <eos> <eos> the service was n't that . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> the service was as
worst thing i 've ever been to at this establishment ! <eos> <eos> <eos> in the future . <eos> <eos> . <eos> <eos> in the street . <eos> <eos> . <eos> <eos> in the store . <eos> <eos> . <eos> <eos> in the store . <eos> <eos> . <eos> <eos>
we got our order and left over a few times . <eos> <eos> <eos> and left . <eos> <eos> . <eos> <eos> <eos> very cold . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> very cold . <eos> <eos> . <eos>
their breakfast sandwich was gross as a hot burger . <eos> <eos> <eos> in it . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos>
will never go to another office ever again ! <eos> <eos> <eos> to my experience . <eos> <eos> <eos> . <eos> <eos> to me . <eos> <eos> <eos> to visit . <eos> <eos> <eos> . <eos> <eos> to me . <eos> <eos> <eos> . <eos> <eos> to me . <eos>
no one place gets new stuff out it ! <eos> <eos> <eos> it 's a new place . <eos> <eos> <eos> . <eos> <eos> it . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> it out . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos>
everything tasted just ok , that should n't . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos>
we ca n't come back for this one night . <eos> <eos> <eos> the lunch for lunch . <eos> <eos> <eos> the lunch . <eos> <eos> <eos> . <eos> <eos> on . <eos> <eos> . <eos> <eos> for lunch . <eos> <eos> . <eos> <eos> for lunch . <eos> <eos>
also , she was nice , but never again ! <eos> <eos> <eos> to me was really slow . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> was so disappointing . <eos> <eos> <eos> . <eos> <eos> <eos> was so disappointing . <eos> <eos> <eos> . <eos>
service was ok , however , and left . <eos> <eos> <eos> to say , i left . <eos> <eos> <eos> , and left . <eos> <eos> <eos> . <eos> <eos> , i was . <eos> <eos> . <eos> <eos> , i left . <eos> <eos> <eos> . <eos> <eos>
( one 's _num_ ) the service was ok . <eos> <eos> <eos> in the sandwich . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos> <eos> <eos> . <eos>
i have to write one more money . <eos> <eos> <eos> to have some choice . <eos> <eos> <eos> . <eos> <eos> to that . <eos> <eos> . <eos> <eos> of that . <eos> <eos> . <eos> <eos> to one . <eos> <eos> . <eos> <eos> of that . <eos>
