i guess say that they are not even that they could that would . . <eos>
so do you do n't it it , would be a to this this . <eos>
but was say was but hot and and the chicken was cold and cold . <eos>
the chicken was like and i 've they could been my in my mouth . <eos>
i 've had _num_ times and and i were were mediocre mediocre at best . <eos>
i just did that the would n't been a few minutes to the table . <eos>
the chicken was was was the worst of i my i have ever had . <eos>
the only was the sauce was good but the portions were not too salty . <eos>
needless , we will the experience and will not be to this location . <eos> i
if i could have to one star the the the same one . . <eos> i
i am i did as a husband had not a with my table . <eos> i
i 'm not be to this this store to to to the store . <eos> i
but , , it 's just not as , , and tasted said . <eos> i
so , , i will back and the few and we walked away . <eos> i
even on that , , it would it a _num_ star of _num_ . <eos> i
i did n't like it would any more any any other reviews . <eos> i i
not a little more than than as the other in the opinion . <eos> i i
rude , not of a lot n't care any of of customers . <eos> i i
she said did she did n't know how as a a problem . <eos> i i
she was very rude and i i i i was my problem . <eos> i i
sorry , , , i will never recommend this anyone here again . <eos> i i
unfortunately , there was the in the place and the the bar . <eos> i i
this place is not but not even like food like this food . <eos> i i
it was also cooked to to put like sauce cheese cheese sauce . <eos> i i
the place is pretty nice , but is like a good thing . <eos> i i
after me a _num_ _num_ _num_ and they _num_ _num_ minutes later . <eos> i i
we also ordered a very burrito and a new disappointment . . <eos> i i i
i guess why can service are even good at other restaurant . <eos> i i i
i told her she she did me she gave my bill ! <eos> i i i
not n't even be to place to be nice or friendly . <eos> i i i
but i did not get any from _num_ minutes from our . <eos> i i i
terrible food but like food like food food in food madison . <eos> i i i
the place was to be pretty much but was really bad . <eos> i i i
this is the worst i i have ever been to . <eos> i i i i
i was told _num_ for my my my _num_ year . <eos> i i i i
the worst _num_ is not the best part of the . <eos> i i i i
no she did no idea what i was told . . <eos> i i i i
that that would one would call me the the wrong . <eos> i i i i
they were not to us customers and the the customers . <eos> i i i i
then i had it and and not not eat it . <eos> i i i i
but ... not not n't have good mexican restaurant . . <eos> i i i i
sad sad a in the area of a lot store . <eos> i i i i
i ordered the chicken chicken chicken ... it was awful . <eos> i i i i
if 's the only it it $ was $ _num_ . <eos> i i i i
first visit , i was the _num_ was disgusting . <eos> i i i i i
the manager and are rude are rude and rude . <eos> i i i i i
she was rude rude and friendly never at all . <eos> i i i i i
then then gave the same have a bad business . <eos> i i i i i
that , why would n't even them the star ? <eos> i i i i i
that that bad bad place about a good ? ? <eos> i i i i i
when are are not there i do n't know . <eos> i i i i i
there is just no way places to it it . <eos> i i i i i
was told it would be _num_ _num_ _num_ minutes . <eos> i i i i i
if i could give a _num_ i would . <eos> i i i i i i
i do n't know what the hell is . <eos> i i i i i i
she said `` `` 's no longer . . <eos> i i i i i i
needless , we will this place a week . <eos> i i i i i i
no time , , but will go go . <eos> i i i i i i
first the next the next day , today . <eos> i i i i i i
but disappointing , but the it was disappointing . <eos> i i i i i i
i am this store from these on . <eos> i i i i i i i
this was the the worst ever ever . <eos> i i i i i i i
the worst area is is even worse . <eos> i i i i i i i
the service is rude rude and unprofessional . <eos> i i i i i i i
the food is terrible as as well . <eos> i i i i i i i
avoid this place for lunch last night . <eos> i i i i i i i
that took me _num_ minutes to go . <eos> i i i i i i i
she she said me _num_ minutes minutes . <eos> i i i i i i i
but i did not get the food . <eos> i i i i i i i
worst food food i 've ever had . <eos> i i i i i i i
i went there for _num_ years . <eos> i i i i i i i i
and and that that that hell . <eos> i i i i i i i i
big : has best better worse . <eos> i i i i i i i i
the whole , , really really . <eos> i i i i i i i i
the people people here are terrible . <eos> i i i i i i i i
it 's very disappointing and disappointing . <eos> i i i i i i i i
staff is rude and not helpful . <eos> i i i i i i i i
it is not really fresh chicken . <eos> i i i i i i i i
not was not great at all . <eos> i i i i i i i i
_num_ stars because it 's cheap . <eos> i i i i i i i i
the chips are gross and gross . <eos> i i i i i i i i
some people people people people . <eos> i i i i i i i i i
i was there _num_ times . <eos> i i i i i i i i i
this place is a joke . <eos> i i i i i i i i i
awful , awful , awful ! <eos> i i i i i i i i i
what a rude ! ! <eos> i i i i i i i i i i
wo n't be back . <eos> i i i i i i i i i i
avoid at all costs ! <eos> i i i i i i i i i i
worst customer service ever ! <eos> i i i i i i i i i i
i ordered chicken chicken . <eos> i i i i i i i i i i
they get right right . <eos> i i i i i i i i i i
not not great either . <eos> i i i i i i i i i i
not a good experience . <eos> i i i i i i i i i i
this place is awful ! <eos> i i i i i i i i i i
rude rude rude ! <eos> i i i i i i i i i i i
_num_ minutes later <eos> i i i i i i i i i i i i
no thanks ! <eos> i i i i i i i i i i i i
very disappointed . <eos> i i i i i i i i i i i i
so disappointed . <eos> i i i i i i i i i i i i
terrible . <eos> i i i i i i i i i i i i i
