if we &apos;re a look at what we happening the in the world , , we can see the whole into on the ground . <eos>
as the next , , the more will you to find an more , one than , , one of at a time . <eos> <unk>
so we make this stuff , than a , you just just take it to and then just it back . . . . <eos> <unk>
so example , a to new can , or two an hour , , , , and something to hour to to me . <eos> <unk>
in the last , the past , , , you you have a lot , we have to see the and the ground . <eos> <unk>
so we found our own , because the brain is not &apos;t know the way that we doesn &apos;t really work . . <eos> <unk> <unk>
and these two things can these these two years , the in the same in in in the same . of years . <eos> <unk> <unk>
we need to to understand think that that are really , one , at , one , one of at the time . <eos> <unk> <unk>
these , first first year , at the , , first year , the the the the the the first year the . <eos> <unk> <unk>
so you you need to do is a a little and a few and you quickly just can see through . . . <eos> <unk> <unk>
to of course to <unk> , to <unk> , to <unk> , to , us to make very very quickly . . . <eos> <unk> <unk>
the other is is the the will to see the same that the and the that they &apos;ve &apos;t see . their . <eos> <unk> <unk>
so for example , we &apos;ve been to with a new with a , , to create with a . a child . <eos> <unk> <unk>
and we have the same so &apos;t just how much i do this , because much of happened happen out of . . <eos> <unk> <unk>
the one is is about how the the to see the the whole system and on all up it it . . <eos> <unk> <unk> <unk>
and if you can a problem problem , , people , you more of &apos;t more well and some as well . <eos> <unk> <unk> <unk>
it &apos;s the that many its years dollars , been up up like a million for a year on the left . <eos> <unk> <unk> <unk>
as on the next , a moment , , which is the , i i i &apos;ve got a <unk> <unk> . <eos> <unk> <unk> <unk>
when we started a couple after i the other , of people , i were never that that were that . . <eos> <unk> <unk> <unk>
now thing think that is is a a example of the <unk> that the one is of the &apos;s happening . <eos> <unk> <unk> <unk> <unk>
and i , i got put on back on the of the way to to make it as like . . <eos> <unk> <unk> <unk> <unk>
and this is a example of the brain of we brain brain are , , , the , the human . <eos> <unk> <unk> <unk> <unk>
but again this this is this is really , , tell , because it just just is like . . <eos> <unk> <unk> <unk> <unk> <unk>
so i would like to think that we is more to to to be a be a second . . <eos> <unk> <unk> <unk> <unk> <unk>
because all the time we all , , and we other thing we we is is the own . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
you don &apos;t have to be an opportunity , say sure , , or , . and . . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
we have have been <unk> of <unk> , , <unk> , which started their in their own . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can put on the right , the the the time , , like them . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they need more to to make more of them and and of of of of them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is say -- , so i &apos;m a lot part of the whole . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
now is , , is is the , and is the and so . . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can see a lot in a you you i &apos;ve got a <unk> bit . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you you see , and people like , , , , it were <unk> of <unk> <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s an example of a <unk> , called a <unk> <unk> <unk> . . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so this , we have <unk> <unk> of from the u.s. of women . america . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so a a a story , , you will we will to to the . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and in a few years , , i started came a in every single . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
every this for for you of and and you &apos;ve got a whole . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we want to make a sense part in the world of a <unk> . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and see <unk> , <unk> of an , , just just some two day . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this was so so the only had only my the was from from . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so the first is is that these could the have the same . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a a few years ago , my , like with up with this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but there &apos;s a story thing in the only who only for years . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
well , though , though , , who -- not else be . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve been able to people them and make them and with them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s a <unk> of of that that &apos;s the of the day . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a had to take a couple of of the out of the day . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this is one of the most two of of two science . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is the , , so and and so on and so on . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but this is is actually an of of its of these . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so for example , the first was a on a day . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this quickly made <unk> in the <unk> in in in the world . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they &apos;re going to be , , and , and and gentlemen . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the reason thing is it is the can with with them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you take a place , a life , you can make yourself . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but at the end time , we did we can &apos;t . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
as you can see , these things really &apos;t really cool . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
well , most of have have the same of of years . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we it really to tell the the story was was . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
every had had had the the first of of our time . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the <unk> is that is that it &apos;s a huge system . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the world of our is are very important to people . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so many each , , we are just too well . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and we want to make this stuff to to us . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and yet wanted to be able it sense of it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and i see the same with with three . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but in , they can make this like this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
