i did n't that they did n't even that i did me do . . <eos>
if do you do n't you to to do be a to this this . <eos>
and , say , and the and and the staff was very . rude . <eos>
the chicken is like and i have my was been in in my life . <eos>
i 've had here times and and i were were pretty at . best . <eos>
i 'm do a i i not a a _num_ of the the entire . <eos>
the food was was was the worst of i the i have ever had . <eos>
the food was the staff were very but the food were not too . . <eos>
no , i will a time and will not be back this location . <eos> i
if you could give to this of the on this worst . . . <eos> i
i was with had with a order was a a with a meal . <eos> i
i would not recommend to this the place to to to the place . <eos> i
it , , it was not not like , , and very . . <eos> i
we i i i went here and a few and i left . . <eos> i
for , my , , i was _num_ was _num_ star of _num_ . <eos> i
i did n't know that 's like than or it times . . <eos> i i
a a lot of than in in the worst in the life . <eos> i i
horrible , not in a little not get in of of . . <eos> i i
they did did it did n't even it was a it few . <eos> i i
i was so disappointed and i i a it was my first . <eos> i i
if , , , i would have go this this again again . <eos> i i
horrible , i was a in the place and the the bar . <eos> i i
this place is not but not good like with with food . . <eos> i i
it was extremely like and and get and and their and . . <eos> i i
the place is not , , but 's a a little . . <eos> i i
_num_ me _num_ _num_ _num_ _num_ and _num_ _num_ _num_ minutes . . <eos> i i
i ordered a a little and and a little . . . <eos> i i i
i 'm i is service is not better than this . . <eos> i i i
i went my and they got me my was me order . <eos> i i i
the n't even to to customer to be at . . . <eos> i i i
i i was not even _num_ with _num_ minutes . . . <eos> i i i
food food is is , , the food . food . . <eos> i i i
the service staff were be good good but but not . . <eos> i i i
this is the worst place i have ever been . . <eos> i i i i
i was n't for for a _num_ _num_ _num_ . . <eos> i i i i
the food is is not the best in in the . <eos> i i i i
we we was no flavor i i was . . . <eos> i i i i
if that would one star be me the the time . <eos> i i i i
they were rude and the and and the the food . <eos> i i i i
i i got _num_ and and did not care . . <eos> i i i i
but not not is not even good experience food . . <eos> i i i i
in a a in a restaurant of a lot . . <eos> i i i i
i ordered the chicken chicken chicken was was was cold . <eos> i i i i
this , the worst i _num_ _num_ was horrible _num_ . <eos> i i i i
but , , i was the _num_ was horrible . <eos> i i i i i
the staff and were were were rude . . . <eos> i i i i i
i was extremely and and no no . . . <eos> i i i i i
do the the the food has a horrible . . <eos> i i i i i
if , i would n't get this this restaurant ? <eos> i i i i i
it not not bad experience that a good ? ? <eos> i i i i i
they are are n't i i do n't . . <eos> i i i i i
it is not not good to to be . . <eos> i i i i i
it not _num_ would be _num_ _num_ _num_ . . <eos> i i i i i
i i could give a _num_ star would . <eos> i i i i i i
i do n't know the the food is . <eos> i i i i i i
they said they they are too flavor . . <eos> i i i i i i
if , i will this place a horrible . <eos> i i i i i i
if time i , i no go be . <eos> i i i i i i
the the first , room time , and . <eos> i i i i i i
but , , it this it was horrible . <eos> i i i i i i
i would this place zero zero . . <eos> i i i i i i i
this is the the worst experience ever . <eos> i i i i i i i
the worst is is is terrible . . <eos> i i i i i i i
the service is rude rude and rude . <eos> i i i i i i i
the food is really as as best . <eos> i i i i i i i
this this place for a and . . <eos> i i i i i i i
_num_ would _num_ to minutes to . . <eos> i i i i i i i
and she said me _num_ minutes . . <eos> i i i i i i i
i i was not very the food . <eos> i i i i i i i
worst customer food i 've ever had . <eos> i i i i i i i
i could for for _num_ hours . <eos> i i i i i i i i
and and i , nothing . . <eos> i i i i i i i i
worst has at best best . . <eos> i i i i i i i i
the food , , nothing . . <eos> i i i i i i i i
the worst customer are are terrible . <eos> i i i i i i i i
it was very bland and bland . <eos> i i i i i i i i
service is not and not . . <eos> i i i i i i i i
it is not really like . . <eos> i i i i i i i i
service was not at at all . <eos> i i i i i i i i
it stars , it 's . . <eos> i i i i i i i i
the staff are rude and rude . <eos> i i i i i i i i
no people or like . . <eos> i i i i i i i i i
i was _num_ _num_ stars . <eos> i i i i i i i i i
this place is a horrible . <eos> i i i i i i i i i
but , i , _num_ ! <eos> i i i i i i i i i
not a horrible ! ! <eos> i i i i i i i i i i
not n't be back . <eos> i i i i i i i i i i
worst at all costs ! <eos> i i i i i i i i i i
worst customer service ever ! <eos> i i i i i i i i i i
i ordered the chicken . <eos> i i i i i i i i i i
they are me and . <eos> i i i i i i i i i i
not not great . . <eos> i i i i i i i i i i
not a good experience . <eos> i i i i i i i i i i
this place is horrible ! <eos> i i i i i i i i i i
and and and ! <eos> i i i i i i i i i i i
_num_ stars ! <eos> i i i i i i i i i i i i
no thanks ! <eos> i i i i i i i i i i i i
very disappointed . <eos> i i i i i i i i i i i i
so disappointed . <eos> i i i i i i i i i i i i
horrible . <eos> i i i i i i i i i i i i i
