we trust them with our personal and % and hope to come shop . . <eos>
a gas station gym gas store , and a doubt treasure into one one . <eos>
very interesting sweet and sour kind kind of a kick to it can good . <eos>
this is a must try if you live in scottsdale - they also deliver ! <eos>
every item we tried was prepared perfectly , with with an and iced hot . <eos>
my girlfriend and i have this sunday establishment after a a movie at ease . <eos>
food hummus with veggies is very very good portion for the as well . <eos> the
staff is friendly and professional and it 's always feels like family ! ! <eos> the
david is a most upbeat host and is very accommodating of your restaurant . <eos> the
i would recommend bringing and son 's to friends visiting the scottsdale area . <eos> the
quality not authentic , onion & has 's has some good chinese food . <eos> the
this is one of the best chinese food places in all of scottsdale . <eos> the
definitely had an empty glass , still not made sure we were happy . <eos> the
and you get nice decor and pleasant wait while you will at it . <eos> the
the decor is very modern and clean , and the food is delish ! <eos> the
surprisingly cuisine should have a little more kick , but it was good . <eos> the
& & b has become a blast part of my shopping shopping shopping . <eos> the
and and staff have been very professional , informative , and friendly . <eos> the the
the place is convenient , clean and the staff was very friendly . <eos> the the
my family has eaten here a few times for dinner as well . <eos> the the
it was served as a first impression but fell prepared and cooked . <eos> the the
im also has some excellent choices to eat but but those everything . <eos> the the
the pork itself was my my favorite but it was good . <eos> the the the
it 's been worth the drive and i 'll definitely return ! <eos> the the the
the most important thing , of course , is the food . <eos> the the the
love the chow lo mein and the honey is is awesome ! <eos> the the the
the breakfast sandwiches are excellent delicious and not too expensive . <eos> the the the the
consistently great care , friendly staff could n't recommend enough . <eos> the the the the
good prices , and a very comfortable , homey atmosphere . <eos> the the the the
the hot and sour soup is both solid and memorable . <eos> the the the the
the entire staff was friendly , prompt , and efficient . <eos> the the the the
and jeff and the staff are friendly and super courteous . <eos> the the the the
the staff are kept sweet every time i go . <eos> the the the the the
for making the hot chocolate warm for my buck . <eos> the the the the the
fantastic chicken ( $ _num_ ) - excellent sauce . <eos> the the the the the
food was really good , as was the service . <eos> the the the the the
best chinese i 've found in the scottsdale area ! <eos> the the the the the
we got lunch specials and left feeling very satisfied . <eos> the the the the the
their breakfast burritos are delicious and really filling . <eos> the the the the the the
will continue to stop by here to relax ! <eos> the the the the the the
great neighborhood chinese food : check it out ! <eos> the the the the the the
everything tastes fresh and as you should be . <eos> the the the the the the
we love going there for the lunch buffet . <eos> the the the the the the
also , everyone was super friendly and nice ! <eos> the the the the the the
service is attentive , prompt , and pleasant . <eos> the the the the the the
classic 's seafood serves is the best appetizer ! <eos> the the the the the the
i have yet to find one better . <eos> the the the the the the the
bartenders are always pretty chill and friendly . <eos> the the the the the the the
the front desk staff is very helpful . <eos> the the the the the the the
the instructors are so caring and thoughtful . <eos> the the the the the the the
everybody introduced is often there as well . <eos> the the the the the the the
the food was fresh and very flavorful . <eos> the the the the the the the
probably my favorite restaurant around the area . <eos> the the the the the the the
probably the best coffee they make . <eos> the the the the the the the the
it is so rich and creamy . <eos> the the the the the the the the
the service is decent as well . <eos> the the the the the the the the
thank you for a great coffee . <eos> the the the the the the the the
i love supporting & son 's . <eos> the the the the the the the the
i highly recommend both of these . <eos> the the the the the the the the
the atmosphere is extremely nice inside . <eos> the the the the the the the the
my water glass was always full . <eos> the the the the the the the the
we will definitely be back again ! <eos> the the the the the the the the
excellent knowledgeable dentist and staff ! <eos> the the the the the the the the the
very caring and friendly staff . <eos> the the the the the the the the the
good service and nice people . <eos> the the the the the the the the the
it 's worth the trip . <eos> the the the the the the the the the
we enjoyed the friendly service . <eos> the the the the the the the the the
best chinese food in scottsdale . <eos> the the the the the the the the the
the bonus is the service . <eos> the the the the the the the the the
the price was very reasonable . <eos> the the the the the the the the the
i strongly of this place . <eos> the the the the the the the the the
love their food and service ! <eos> the the the the the the the the the
very nice southern chinese cuisine . <eos> the the the the the the the the the
recommend the shrimp fried rice . <eos> the the the the the the the the the
best chinese food in arizona ! <eos> the the the the the the the the the
the honey chicken is delicious ! <eos> the the the the the the the the the
this place does it right . <eos> the the the the the the the the the
the salmon was prepared perfectly . <eos> the the the the the the the the the
their horchata is good . <eos> the the the the the the the the the the
highly recommend for anyone ! <eos> the the the the the the the the the the
the best in town ! <eos> the the the the the the the the the the
always friendly and fast . <eos> the the the the the the the the the the
i strongly recommend it . <eos> the the the the the the the the the the
i love the food . <eos> the the the the the the the the the the
i love the ambience . <eos> the the the the the the the the the the
i love the prices . <eos> the the the the the the the the the the
everything else was fantastic . <eos> the the the the the the the the the the
best chinese hands down ! <eos> the the the the the the the the the the
love this place . <eos> the the the the the the the the the the the
the dipping taste good. <eos> the the the the the the the the the the the
good location . <eos> the the the the the the the the the the the the
nice atmosphere ! <eos> the the the the the the the the the the the the
_num_ hrs ! <eos> the the the the the the the the the the the the
friendly staff . <eos> the the the the the the the the the the the the
nice people . <eos> the the the the the the the the the the the the
highly recommended . <eos> the the the the the the the the the the the the
excellent food . <eos> the the the the the the the the the the the the
yum yum ! <eos> the the the the the the the the the the the the
wow ! <eos> the the the the the the the the the the the the the
yum ! <eos> the the the the the the the the the the the the the
