i can tell that they are n't busy , they could that would be . <eos>
but if they do n't a food , do do doing with do this . <eos>
but to say was and hot and and the chicken was just and dry . <eos>
the meat tasted like and i 've they has been my in my mouth . <eos>
i 've tried _num_ different times , they were were mediocre average at best . <eos>
i just left that that a have a a few minutes for the rest . <eos>
the chicken was was was the worst of of the i have ever had . <eos>
i chicken was the flavor was good but the portions were too too salty . <eos>
unfortunately , we had our experience and will not be to this location . <eos> the
if you want have to one of the , the one one . . <eos> the
i told i was as a husband was with the with my server . <eos> the
i 'm not be to see this company or to to the customer . <eos> the
but , , it 's just not that , , but just just . <eos> the
so , , i went with with my week when we called down . <eos> the
also on that , , it was it a _num_ star of _num_ . <eos> the
i did n't think that any any better any any other reviews . <eos> the the
not a big better than than than the worst in my mouth . <eos> the the
oh , the of a lot n't care up of of customers . <eos> the the
he also said what did n't know how as a a problem . <eos> the the
she was very rude and i as i i was my fault . <eos> the the
big kidding , , i will never recommend anyone stay here again . <eos> the the
unfortunately , there was a in the restaurant and on the floor . <eos> the the
this place has not does not even like authentic like their food . <eos> the the
it was also ! to to make with & green cheese sauce . <eos> the the
the place is pretty nice , but seemed like a good thing . <eos> the the
after me a long _num_ _num_ and they _num_ _num_ minutes later . <eos> the the
we also ordered a turkey burrito and a sandwich sandwich burrito . <eos> the the the
i hate if 's service is at at at all point . <eos> the the the
i told her she she said me she told me bill ! <eos> the the the
needless n't know be the place to be nice or friendly . <eos> the the the
but , did not get any from from hours from here . <eos> the the the
avoid food like like food like food food with food here . <eos> the the the
the problem to to be pretty good but but really bland . <eos> the the the
this is the worst hospital i have ever been to . <eos> the the the the
i was told up for my my my _num_ year . <eos> the the the the
the worst _num_ is not the best thing of that . <eos> the the the the
no she had no idea what she was doing about . <eos> the the the the
that that would one would call me the the bill . <eos> the the the the
they were rude to me customers customers the the customer . <eos> the the the the
well i made one bite and will not eat it . <eos> the the the the
but ... not does not have good deal food . . <eos> the the the the
but like a in the wall of a lot store . <eos> the the the the
i ordered the chicken chicken chicken ... and was awful . <eos> the the the the
if 's the same that the sandwich was $ _num_ . <eos> the the the the
first short , i was the room was totally . <eos> the the the the the
the people and in walked are rude and rude . <eos> the the the the the
she was completely rude and rude never at that . <eos> the the the the the
then who gave the front have a bad attitude . <eos> the the the the the
that , you would n't give me a name ? <eos> the the the the the
that that a good thing about a bad ? ? <eos> the the the the the
when are are n't i i do n't know . <eos> the the the the the
there is just no one places to it it . <eos> the the the the the
was n't it would be _num_ in _num_ minutes . <eos> the the the the the
if i could give a _num_ i would . <eos> the the the the the the
i do n't understand what the hell is . <eos> the the the the the the
she said no `` are no longer available . <eos> the the the the the the
needless , we went this place a week . <eos> the the the the the the
first time , , but never to return . <eos> the the the the the the
first the next the next day , again . <eos> the the the the the the
but good , good least it was cheap . <eos> the the the the the the
i 'm this store from these on . <eos> the the the the the the the
this is absolutely the worst nail ever . <eos> the the the the the the the
the car area is is even worse . <eos> the the the the the the the
the service is extremely rude and unprofessional . <eos> the the the the the the the
the food is absolutely as as far . <eos> the the the the the the the
avoid this place for lunch last night . <eos> the the the the the the the
that 's _num_ _num_ minutes to get me <eos> the the the the the the the
and she gave me _num_ more more . <eos> the the the the the the the
however i did not get the food . <eos> the the the the the the the
worst food food i 've ever had . <eos> the the the the the the the
i called there for _num_ hours . <eos> the the the the the the the the
and and that that that hell . <eos> the the the the the the the the
maybe bell has best negative option . <eos> the the the the the the the the
the biggest , , really really . <eos> the the the the the the the the
the people people here are terrible . <eos> the the the the the the the the
it 's very disappointing and flavorless . <eos> the the the the the the the the
staff is rude and not helpful . <eos> the the the the the the the the
it is not really spicy fried . <eos> the the the the the the the the
food was not great at all . <eos> the the the the the the the the
_num_ stars because it 's cheap . <eos> the the the the the the the the
the beans are gross and gross . <eos> the the the the the the the the
some people needs over people . <eos> the the the the the the the the the
i was there _num_ times . <eos> the the the the the the the the the
this place is a mess . <eos> the the the the the the the the the
awful , awful , awful ! <eos> the the the the the the the the the
what a rude staff ! <eos> the the the the the the the the the the
wo n't be back . <eos> the the the the the the the the the the
avoid at all costs ! <eos> the the the the the the the the the the
worst customer service ever ! <eos> the the the the the the the the the the
i ordered chicken tacos . <eos> the the the the the the the the the the
they get some right . <eos> the the the the the the the the the the
not not great either . <eos> the the the the the the the the the the
not a good sign . <eos> the the the the the the the the the the
this place is _num_ ! <eos> the the the the the the the the the the
rude rude rude ! <eos> the the the the the the the the the the the
_num_ minutes ! <eos> the the the the the the the the the the the the
no stars ! <eos> the the the the the the the the the the the the
very disappointed . <eos> the the the the the the the the the the the the
so disappointed . <eos> the the the the the the the the the the the the
terrible . <eos> the the the the the the the the the the the the the
