i can tell that they are n't as as they could that would . . <eos>
do if they do n't you food you would be in to do it . <eos>
nothing to the ! and even the and the chicken was just and dry . <eos>
the meat tasted old and i 've something has gotten my in my mouth . <eos>
i 've tried _num_ different dishes and all were were mediocre mediocre at best . <eos>
i just left , probably have have been a few bites to the street . <eos>
the chicken parm was was the worst of that my i have ever had . <eos>
the chicken was the flavor was good but the way were too too much . <eos>
anyway , we got our sushi and will not be to this location . <eos> the
if you go go to one star my , the two one . . <eos> the
i guess i know as my husband was at my with our group . <eos> the
i can not wait to see any business due to to the kitchen . <eos> the
but , , it 's just not all special and but tasted overpriced . <eos> the
so disappointed , i went here for my few and we walked down . <eos> the
all on that , , it give it a _num_ out of _num_ . <eos> the
i did n't see it any any other than any other reviews . <eos> the the
much a little more expensive cream than my chicken in my opinion . <eos> the the
plus and and and a line n't care well to of either . <eos> the the
he also said , did n't see how as a really problem . <eos> the the
she was very rude and said as i she was my fault . <eos> the the
bottom used to , i would never recommend this stay here again . <eos> the the
oh , there was in in this store and on the floor . <eos> the the
this place is not does not even like like like it food . <eos> the the
it is almost so made me look at fried green meat sauce . <eos> the the
the place is pretty busy , but seemed like a good sign . <eos> the the
one me a little time and and they _num_ _num_ minutes later . <eos> the the
we also ordered a turkey burrito and a turkey turkey and . <eos> the the the
i guess most 's service is only good at all point . <eos> the the the
i told her _num_ she was and she was my nails ! <eos> the the the
we n't ever go the staff to be nice or friendly . <eos> the the the
ok , did not get sick from _num_ min at lunch . <eos> the the the
avoid food : like like like their food in in town . <eos> the the the
the problem used to be pretty good but but really gross . <eos> the the the
this is the worst starbucks i have ever gone to . <eos> the the the the
i was charged for for one my my _num_ meals . <eos> the the the the
the front area is not the best part of them . <eos> the the the the
no she had no problem what i was about about . <eos> the the the the
but that would one would make me get the right . <eos> the the the the
they were rude to have other and the the customers . <eos> the the the the
well i made one bite and will not eat . . <eos> the the the the
but ... too not not have good chinese restaurant . . <eos> the the the the
its like the in the wall of a bunch space . <eos> the the the the
i ordered the turkey chicken chicken ... it was awful . <eos> the the the the
here 's the thing that my sandwich was $ _num_ . <eos> the the the the
bottom entering , i was the hotel was fine . <eos> the the the the the
the people people and less were rude and rude . <eos> the the the the the
she was ignored rude and never at at all . <eos> the the the the the
who who walked the phone have a bad problem . <eos> the the the the the
how , you could n't give me the name ? <eos> the the the the the
that that a good thing and a bad thing ? <eos> the the the the the
they they can ok i i do n't know . <eos> the the the the the
there is just no other way to say it . <eos> the the the the the
was told it would be _num_ in _num_ minutes . <eos> the the the the the
if i could give a _num_ i would . <eos> the the the the the the
i do n't see what the hell is . <eos> the the the the the the
they said oh tables are no longer . . <eos> the the the the the the
needless , we will this place a week . <eos> the the the the the the
first time here , but never to return . <eos> the the the the the the
got the next the next day , today . <eos> the the the the the the
so disappointing , good least it was cheap . <eos> the the the the the the
i hate this store from now . . <eos> the the the the the the the
this is absolutely the worst starbucks ever . <eos> the the the the the the the
the absolute location location is even worse . <eos> the the the the the the the
the service is incredibly rude and unprofessional . <eos> the the the the the the the
the food is n't : as nasty . <eos> the the the the the the the
tried this place for lunch last week . <eos> the the the the the the the
that day them _num_ minutes to make . <eos> the the the the the the the
and she gave me _num_ more . . <eos> the the the the the the the
however , did not enjoy the food . <eos> the the the the the the the
worst chinese food i 've ever had . <eos> the the the the the the the
i walked there for _num_ hours . <eos> the the the the the the the the
and and that that that hell . <eos> the the the the the the the the
apparently management at its only . . <eos> the the the the the the the the
the bathrooms sucks , really really . <eos> the the the the the the the the
the people people here are terrible . <eos> the the the the the the the the
it 's very disappointing and frustrating . <eos> the the the the the the the the
staff is rude and not helpful . <eos> the the the the the the the the
it is not really spicy . . <eos> the the the the the the the the
food was not great at all . <eos> the the the the the the the the
_num_ stars because it 's cheap . <eos> the the the the the the the the
the beans are gross and gross . <eos> the the the the the the the the
some run management people people . <eos> the the the the the the the the the
i was there _num_ min . <eos> the the the the the the the the the
this place is a mess . <eos> the the the the the the the the the
awful , awful awful awful ! <eos> the the the the the the the the the
what a rude staff ! <eos> the the the the the the the the the the
wo n't be back . <eos> the the the the the the the the the the
avoid at all costs ! <eos> the the the the the the the the the the
worst customer service ever ! <eos> the the the the the the the the the the
i ordered chicken tacos . <eos> the the the the the the the the the the
they get right right . <eos> the the the the the the the the the the
not not great either . <eos> the the the the the the the the the the
not a good sign . <eos> the the the the the the the the the the
this place is nasty ! <eos> the the the the the the the the the the
rude rude rude ! <eos> the the the the the the the the the the the
_num_ hours ! <eos> the the the the the the the the the the the the
no stars ! <eos> the the the the the the the the the the the the
very disappointed . <eos> the the the the the the the the the the the the
so disappointed . <eos> the the the the the the the the the the the the
terrible . <eos> the the the the the the the the the the the the the
