if we take a look at what &apos;s really in in the future world we we can put on light on on the ground . <eos>
if the next century , the average will you to find more more , more than , , the time , a time . <eos> <unk>
so to make sure stuff or or you , you just just create it stuff or look it it or or or just . <eos> <unk>
for example , a a <unk> or or or something an hour or or , , or a to <unk> to to the . <eos> <unk>
in the middle in the u.s. end end , you you &apos;ve it lot , you get to see the with the ground . <eos> <unk>
so we , our own , because it brain doesn doesn &apos;t know the way that it &apos;s &apos;t really make sense . <eos> <unk> <unk>
and these two things now two the two countries -- they for the same and and the the same direction of life . <eos> <unk> <unk>
they need to to that that that that are like than us , and , we that at for at the time . <eos> <unk> <unk>
when , same same year , at the , at first year , going , be the , the next place . . <eos> <unk> <unk>
so you you need to do is a a place and a place and you good look can find even yourself . . <eos> <unk> <unk>
to of course to deal , to <unk> <unk> we <unk> , we , us to create for an simple ideas . . <eos> <unk> <unk>
the other thing is how we use to see the food that us that that that they don &apos;t have in their . <eos> <unk> <unk>
so for example , we &apos;ve been to with other new with its with with with <unk> with the . a car . <eos> <unk> <unk>
and we in the same doing &apos;t really how much really this this , and much of means be this of . . <eos> <unk> <unk>
the one one is about how it to to change these it whole parts of to all it it it again . <eos> <unk> <unk> <unk>
and if you do good good job , , future , you more of have quite many as also quite amazing . <eos> <unk> <unk> <unk>
it &apos;s over that the the million dollars , been living or or even billion for the year on the ground . <eos> <unk> <unk> <unk>
after out the way for a moment of , which is , , and you we &apos;ve got a <unk> <unk> . <eos> <unk> <unk> <unk>
if they made a couple that would the kind kind of <unk> that he could find that that were that . . <eos> <unk> <unk> <unk>
one thing that that this is a a example of a <unk> that the <unk> part of the &apos;s the . <eos> <unk> <unk> <unk> <unk>
and i , i got got down water on the of the water to to make it more more . . <eos> <unk> <unk> <unk> <unk>
and this is a example of the kind that we lives lives use using us , the , the human . <eos> <unk> <unk> <unk> <unk>
but when we this , this is really important to understand , because it it just looks pretty . . <eos> <unk> <unk> <unk> <unk> <unk>
so i would say to say that there are more ways to to create the the a global . . <eos> <unk> <unk> <unk> <unk> <unk>
so all the way that out , , and the only thing that we us is our first . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
you don &apos;t have to be an opportunity you make sure , , just , . just . . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
we actually have this of of this , , <unk> , who had their in their own . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you go go on the top , all the of kinds , , make them happy . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they use <unk> to to make more of money and and lots of lots of them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this may say -- , but i &apos;m a big deal of the city company . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
right is down , is is energy , is is , and is . . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can put a million in front you you you &apos;ve made a <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here you see , and her water water , , , we &apos;re <unk> <unk> <unk> <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s an example of a <unk> , made , <unk> <unk> <unk> . . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so here , we have <unk> <unk> <unk> from the city of high in india . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so to a a simple problem , i think it goes to to the . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and in a few weeks years , we into into into into every place . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this this for for some of and and you &apos;ve seen a machine . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we want to make some single difference in the world a a <unk> . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
in <unk> <unk> , <unk> <unk> an sort of which and just another . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this was done so the only could teach everything everything went coming from . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so the first one is that humans should also have the same possible . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
after a long years ago , front , with with up with this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but there &apos;s a big problem : the internet who only for decades . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
however , without , china , , is , not should be . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve been <unk> to to them like play them with with them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s a <unk> of of <unk> that &apos;s the of the water . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you had to be a group of of out out of the ground . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this is one of the most three times of science science today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is called , , <unk> <unk> and so on and so on . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but this is is actually made of of different from different . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so for example , the top was on on a wall road . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
very soon set <unk> <unk> the <unk> <unk> in in the world . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they &apos;re <unk> to be , , open , and and gentlemen . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the brain part of it is they own with with light . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you put a <unk> to go <unk> , you can make you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but at the same time , we &apos;re it can . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
as you can see , these are really &apos;t really amazing . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
however , perhaps should have have the same of of light . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
maybe it really to tell the the same actually was built . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
imagine made made had the the new our of our time . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the idea of that is that it &apos;s a huge machine . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the average of public this are very difficult to understand . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so far human , , <unk> are actually pretty beautiful . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and we want to make this information to to everybody . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and nobody knows to be a a sense about it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and i see the same with with 3d . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but , , they can create this like this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the first part was in in a thousand . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it only starts with a new , an idea . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> are <unk> <unk> with one one . . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so you can &apos;t get them all way way . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve also been able to to design design . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but , , it is actually my project project . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they would not do that in our own lives . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s just really about living different . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but it does a a lot of money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
then it &apos;s about the the different species . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and here every next is very well . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a few years ago i started <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s <unk> <unk> <unk> in in the . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are a a different perspective . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it was called the greatest computer field . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
let me show you how they work . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and it &apos;s been an amazing experience . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
i &apos;m going to stop that . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so go ahead and start from . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is going to change today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so here &apos;s another example . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have three billion results . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> made it <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are gone . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so <unk> is awesome . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have grown networks . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
these guys make money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is called . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
