i can see that they are n't full as she claimed they would be . <eos>
just if they do make sichuan food they would be able to do this . <eos>
nothing to it , not prepared correctly and the chicken was stringy and dry . <eos>
the meat tasted strange and i thought someone has put soap in my mouth . <eos>
i 've tried _num_ different dishes and they all were below average at best . <eos>
i just left , probably could have taken a few shots for the road . <eos>
the chicken lo mein was the most ridiculous of any i have ever had . <eos>
the chicken in the dish was good but the noodles were way too big . <eos>
anyway , we got our coffee and will not return to this location . <eos> <pad>
if you must go to one of them choose the mills ave one . <eos> <pad>
i explained i couldnt as my husband was at work with our truck . <eos> <pad>
i can not wait to see this business fail due to the economy . <eos> <pad>
but man , it 's just not anything special , and also overpriced . <eos> <pad>
so anyway , i come here with a coworker and we sit down . <eos> <pad>
even on that standard , i give it a _num_ out of _num_ . <eos> <pad>
i did n't notice it being any quicker than any other starbucks . <eos> <pad> <pad>
putting a much more sour taste than the coffee in my mouth . <eos> <pad> <pad>
small , clean in a do n't touch anything kind of way . <eos> <pad> <pad>
he also said he did n't see it as being a problem . <eos> <pad> <pad>
she was very rude and upset as if this was my fault . <eos> <pad> <pad>
poorly ran facility , i would never recommend or stay here again . <eos> <pad> <pad>
indeed , there was history in this restaurant and on the walls . <eos> <pad> <pad>
this place 's food does not even remotely taste like sichuan food . <eos> <pad> <pad>
it is white rice made to look brown by adding soy sauce . <eos> <pad> <pad>
the place is pretty busy , which seemed like a good sign . <eos> <pad> <pad>
gave them a little extra time and got there _num_ minutes later . <eos> <pad> <pad>
we also ordered a red velvet and a vanilla bean cupcake . <eos> <pad> <pad> <pad>
i guess starbucks customer services is only good at some locations . <eos> <pad> <pad> <pad>
i ask her why she asked and she refuses my reservation ! <eos> <pad> <pad> <pad>
do n't ever expect the staff to be nice or friendly . <eos> <pad> <pad> <pad>
ok i did not get sick + _num_ hours from lunch . <eos> <pad> <pad> <pad>
fast food hong kong tastes like fast food chinese in usa . <eos> <pad> <pad> <pad>
the chicken appears to be pretty good quality but really soggy . <eos> <pad> <pad> <pad>
this is the worst starbucks i have ever gone to . <eos> <pad> <pad> <pad> <pad>
i was charged additionally for each of my _num_ dogs . <eos> <pad> <pad> <pad> <pad>
the surrounding area is not the best part of town . <eos> <pad> <pad> <pad> <pad>
clearly she had no idea what i was talking about . <eos> <pad> <pad> <pad> <pad>
but that no one would help me get the fabric . <eos> <pad> <pad> <pad> <pad>
they were rude to each other and to the customers . <eos> <pad> <pad> <pad> <pad>
well i took one bite and did not eat another . <eos> <pad> <pad> <pad> <pad>
but ... personality does not a good chinese restaurant make . <eos> <pad> <pad> <pad> <pad>
its like dining in the middle of a garage sale . <eos> <pad> <pad> <pad> <pad>
i ordered the kung pao chicken ... it was awful . <eos> <pad> <pad> <pad> <pad>
here 's the thing : my dish was $ _num_ . <eos> <pad> <pad> <pad> <pad>
upon entering , i noticed the cafe was packed . <eos> <pad> <pad> <pad> <pad> <pad>
the street people and homeless were loud and rude . <eos> <pad> <pad> <pad> <pad> <pad>
she was horribly unhelpful and almost rude at that . <eos> <pad> <pad> <pad> <pad> <pad>
woman who answers the phone having a bad life . <eos> <pad> <pad> <pad> <pad> <pad>
really , you could n't give me the code ? <eos> <pad> <pad> <pad> <pad> <pad>
is that a good thing or a bad thing ? <eos> <pad> <pad> <pad> <pad> <pad>
why they are little sichuan i do n't know . <eos> <pad> <pad> <pad> <pad> <pad>
there is just no other way to say it . <eos> <pad> <pad> <pad> <pad> <pad>
was told it would be ready in _num_ minutes . <eos> <pad> <pad> <pad> <pad> <pad>
if i could give a _num_ i would . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
i do n't see what the issue is . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
she said large dogs are no longer welcome . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
therefore , we paid this place a visit . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
first time here , but never to return . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
got the runs the next day , ugh . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
so disappointing , at least it was cheap . <eos> <pad> <pad> <pad> <pad> <pad> <pad>
i avoid this store from now on . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
this is absolutely the worst starbucks ever . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the scottsdale waterfront location is even worse . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the service is incredibly rude and unprofessional . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the food is best described as boring . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
tried this place for lunch last week . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
that takes them _num_ minutes to make . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
and she gave me _num_ more pairs . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
however i did not enjoy the food . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
worst chinese food i 've ever had . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i sat there for _num_ hours . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
evil and odd how that happens . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
false advertisement at its best urban . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the wifi stinks , useless really . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the sales people here are terrible . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it 's very disappointing and upsetting . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
staff is rude and not helpful . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it is not really brown rice . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
food was not great at all . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
_num_ stars because it 's cheap . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
the noodles are huge and gross . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
some rough looking young people . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i was there _num_ night . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
this place is a mess . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
awful , awful , awful ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
what a rude staff ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
wo n't be back . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
avoid at all costs ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
worst customer service ever ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i ordered chicken eggplant . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
they get neither right . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
atmosphere not great either . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
not a good sign . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
this place is creepy ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
rude rude rude ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
_num_ hours ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
no stars ! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
very disappointed . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
so disappointed . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
terrible . <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
