we will them with a family and and and will to come here ! . <eos>
a true store , store store , and a lot all of one one . <eos>
very sweet sweet and kind sauce a of flavor place place it was good . <eos>
this is a must try if you live in town are also also open ! <eos>
every dish we tried was fresh with , with with a and a hot . <eos>
my husband and i go this car company after a a whole at ease . <eos>
their meat is meat is a very good portion and a minutes well . <eos> the
staff so friendly and professional and my 's always an like family office ! <eos> the
is is a really beautiful and and he very nice of an restaurant . <eos> the
i would recommend him and him 's to anyone and the phoenix area . <eos> the
not not the , & & pop 's has some good thai food . <eos> the
this is one of the best chinese food you in all of charlotte . <eos> the
never had an appetizer evening , nice well nice sure we were great . <eos> the
and you get delivery atmosphere and wonderful service while you 're looking it . <eos> the
the decor is very convenient and the , and the food is phenomenal ! <eos> the
seriously location should be a little more but but but it was good . <eos> the
& & works has a a great of of our dining dining shopping . <eos> the
office and staff have been very professional , friendly , and friendly . <eos> the the
the place is clean , clean and the staff was very friendly . <eos> the the
my family has been here a few times ago dinner as well . <eos> the the
it was served as a first dish but cooked cooked and cooked fresh <eos> the the
also also has some good options to try ... but everything everything . <eos> the the
the sandwich was was my my favorite but it was good . <eos> the the the
it 's definitely worth the trip and i 'll definitely return ! <eos> the the the
the most part is , of course , food the food . <eos> the the the
love the red chile shrimp and the shrimp is is awesome ! <eos> the the the
the breakfast sandwiches are also very and not too expensive . <eos> the the the the
consistently great care , great staff and n't beat trying . <eos> the the the the
good prices , a a very clean atmosphere relaxed atmosphere . <eos> the the the the
the hot and sour soup was both tender and delicious . <eos> the the the the
the entire staff was friendly , prompt , and efficient . <eos> the the the the
and the and the staff are friendly and super courteous . <eos> the the the the
the staff are truly done every time i go . <eos> the the the the the
for the the hot chocolate dessert for my entree . <eos> the the the the the
( chicken ( $ _num_ ) - excellent taste . <eos> the the the the the
food was really good , as was the service . <eos> the the the the the
best chinese i 've found in the phoenix area ! <eos> the the the the the
we got lunch specials and left left very satisfied . <eos> the the the the the
their breakfast burritos are delicious and really filling . <eos> the the the the the the
will continue to be by here to anybody ! <eos> the the the the the the
great neighborhood neighborhood place when check it out ! <eos> the the the the the the
everything tastes fresh and the good should be . <eos> the the the the the the
we love going there for the lunch buffet . <eos> the the the the the the
also , everyone was super nice and nice ! <eos> the the the the the the
service is prompt , prompt , and pleasant . <eos> the the the the the the
beef 's seafood buffet is the best dry ! <eos> the the the the the the
i have yet to find one better . <eos> the the the the the the the
employees are always pretty and and friendly . <eos> the the the the the the the
the front desk staff is very helpful . <eos> the the the the the the the
the doctor are so caring and gentle . <eos> the the the the the the the
dr. works is consistently there as well . <eos> the the the the the the the
the food was fresh and very flavorful . <eos> the the the the the the the
probably my favorite restaurant around the area . <eos> the the the the the the the
probably the best thing they offer . <eos> the the the the the the the the
it is so creamy and creamy . <eos> the the the the the the the the
the service is decent as well . <eos> the the the the the the the the
thank you for a great coffee . <eos> the the the the the the the the
i love & & joe 's . <eos> the the the the the the the the
i highly recommend both of the . <eos> the the the the the the the the
the atmosphere is extremely nice inside . <eos> the the the the the the the the
my water looks was always full . <eos> the the the the the the the the
we will definitely be back again ! <eos> the the the the the the the the
excellent knowledgeable and and staff ! <eos> the the the the the the the the the
very caring and friendly staff . <eos> the the the the the the the the the
good service and nice people . <eos> the the the the the the the the the
it 's worth the trip . <eos> the the the the the the the the the
we enjoyed the friendly service . <eos> the the the the the the the the the
best chinese food in arizona . <eos> the the the the the the the the the
the view is the service . <eos> the the the the the the the the the
the price was very reasonable . <eos> the the the the the the the the the
i strongly this this place . <eos> the the the the the the the the the
love their food and service ! <eos> the the the the the the the the the
very nice southern chinese cuisine . <eos> the the the the the the the the the
recommend the shrimp fried rice . <eos> the the the the the the the the the
best chinese food in arizona ! <eos> the the the the the the the the the
the orange chicken is delicious ! <eos> the the the the the the the the the
this place does it right . <eos> the the the the the the the the the
the salmon was perfectly perfectly . <eos> the the the the the the the the the
their produce is good . <eos> the the the the the the the the the the
highly recommend for anyone ! <eos> the the the the the the the the the the
the best in town ! <eos> the the the the the the the the the the
always friendly and fast . <eos> the the the the the the the the the the
i strongly recommend it . <eos> the the the the the the the the the the
i love the food . <eos> the the the the the the the the the the
i love the ambiance . <eos> the the the the the the the the the the
i love the prices . <eos> the the the the the the the the the the
everything else was fantastic . <eos> the the the the the the the the the the
best chinese hands down ! <eos> the the the the the the the the the the
love this place . <eos> the the the the the the the the the the the
the homemade taste offers <eos> the the the the the the the the the the the
good location . <eos> the the the the the the the the the the the the
nice atmosphere ! <eos> the the the the the the the the the the the the
_num_ % ! <eos> the the the the the the the the the the the the
friendly staff . <eos> the the the the the the the the the the the the
nice people . <eos> the the the the the the the the the the the the
highly recommended . <eos> the the the the the the the the the the the the
excellent food . <eos> the the the the the the the the the the the the
yum yum ! <eos> the the the the the the the the the the the the
wow ! <eos> the the the the the the the the the the the the the
thanks ! <eos> the the the the the the the the the the the the the
