i went here again and my order and had n't even eat here . <eos> <eos> . <eos> <eos> and we had n't return back . <eos> <eos> . <eos> <eos> and we had n't return back . <eos> <eos> . <eos> <eos> and we had n't return back .
a little , i would like a little , and no one of this . <eos> <eos> . <eos> <eos> , and a little deal . <eos> <eos> . <eos> <eos> , and my order 's a little . <eos> . <eos> <eos> , and my order 's a little
it was very rude and the food of it did n't care . <eos> <eos> . <eos> <eos> and it was very good for the price . <eos> . <eos> <eos> . <eos> <eos> and it did n't very good . <eos> <eos> . <eos> <eos> and it did n't
this is a shame that they have been to have a _num_ star . <eos> <eos> . <eos> <eos> i have been a lot of business . <eos> <eos> <eos> i do n't have a lot of business . <eos> <eos> <eos> . <eos> <eos> i have a lot of
i ordered chicken chicken , chicken chicken was cold and cheese , and tasted . <eos> . <eos> <eos> . <eos> , and was extremely disappointed . <eos> . <eos> <eos> . <eos> <eos> , and were extremely cold . <eos> . <eos> <eos> . <eos> <eos> , and were
i went here for a _num_ star and the chicken was really disappointed . <eos> <eos> . <eos> <eos> and the food was a bit . <eos> <eos> . <eos> <eos> and the manager was a horrible experience . <eos> <eos> <eos> and i had a few _num_ years .
it was very rude and the food was very little for us . <eos> <eos> . <eos> <eos> and it was very very disappointed . <eos> <eos> . <eos> <eos> and it was very very disappointed . <eos> <eos> . <eos> <eos> and it was very very disappointed . <eos>
so i asked for _num_ minutes and it 's too much . <eos> <eos> . <eos> <eos> and they were not even like me . <eos> <eos> <eos> and i did not like it 's _num_ . <eos> <eos> . <eos> <eos> and they did not even like me .
it is a little and only in a little of their service . <eos> <eos> . <eos> <eos> and is very very disappointed in the place . <eos> <eos> . <eos> <eos> and is very very disappointed . <eos> . <eos> <eos> . <eos> <eos> and the staff is very
i would recommend recommend this place to anyone and the worst of time . <eos> <eos> . <eos> <eos> i went to this place . <eos> . <eos> <eos> . <eos> <eos> i went to the place . <eos> . <eos> <eos> . <eos> <eos> i went to the place
horrible , but not good at this place is a little customer . <eos> <eos> . <eos> <eos> , but the food is not good . <eos> <eos> . <eos> <eos> , but the food is not good . <eos> <eos> . <eos> <eos> , but the food is horrible
this is the worst of time i have ever had in . <eos> . <eos> <eos> . <eos> <eos> of the food . <eos> <eos> . <eos> <eos> . <eos> <eos> of the food . <eos> <eos> . <eos> <eos> . <eos> <eos> of the food . <eos> . <eos>
we had no flavor , but had no flavor and it had . <eos> . <eos> <eos> . <eos> <eos> , we were n't . <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos>
so i do n't know it and just get the same time . <eos> <eos> . <eos> <eos> and they do n't know it . <eos> <eos> . <eos> <eos> and they do n't get it . <eos> <eos> . <eos> <eos> and they do n't get it . <eos>
the place was ok , and the food was not a little . <eos> <eos> . <eos> <eos> and the staff was not to . <eos> <eos> . <eos> <eos> and the food was not to me . <eos> <eos> . <eos> <eos> and the food was not to .
it 's a bad experience , but it was n't like the food . <eos> <eos> . <eos> <eos> , it was not a good . <eos> <eos> . <eos> <eos> , it was n't like it . <eos> <eos> . <eos> <eos> , but it was n't good .
there is a little of the worst of their food was in . <eos> <eos> . <eos> <eos> of the same of a lot . <eos> <eos> . <eos> <eos> of the other of a lot . <eos> <eos> . <eos> <eos> of the other of a lot . <eos>
i ordered a little chicken , and very rude , and rude . <eos> <eos> . <eos> <eos> and the staff were not helpful . <eos> . <eos> <eos> . <eos> and the staff were not helpful . <eos> . <eos> <eos> . <eos> <eos> and the staff were not
the place was not , and the place was very rude . <eos> <eos> . <eos> <eos> and the staff was not to be . <eos> <eos> . <eos> <eos> . <eos> <eos> and the staff was not . <eos> <eos> . <eos> <eos> and the staff was not to
i have been a few times and it 's no one . <eos> <eos> . <eos> <eos> and it had been great . <eos> . <eos> <eos> . <eos> <eos> my food and it had been . <eos> <eos> . <eos> <eos> . <eos> <eos> and it had been .
it was very bland and it was like a little and cold . <eos> <eos> . <eos> <eos> and it was very bland . <eos> <eos> . <eos> <eos> . <eos> and it was very bland . <eos> <eos> . <eos> <eos> and it was very bland . <eos> <eos>
there are no other other other than that as well . <eos> . <eos> <eos> . <eos> <eos> and did n't care about that . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos>
the food was n't that it was n't my order . <eos> <eos> . <eos> <eos> the food was n't good . <eos> <eos> . <eos> <eos> the food was n't the good . <eos> <eos> . <eos> <eos> . <eos> the food was n't the good . <eos> <eos>
it 's a _num_ star i will never go back . <eos> <eos> . <eos> <eos> and it was n't worth the place . <eos> <eos> . <eos> <eos> and i 'm not going back . <eos> <eos> . <eos> <eos> and it 's the place . <eos> <eos> .
the food is ok , the food , is mediocre . <eos> <eos> . <eos> <eos> the food , the food is . <eos> <eos> . <eos> <eos> . <eos> <eos> , the food is . <eos> . <eos> <eos> . <eos> <eos> the food , the staff is .
the manager and the manager are $ _num_ ) . <eos> <eos> . <eos> <eos> the staff and the manager are $ _num_ . <eos> <eos> <eos> and the manager are $ _num_ . <eos> <eos> . <eos> <eos> and the manager are $ _num_ . <eos> <eos> . <eos>
the staff are also rude and tasted like . <eos> <eos> . <eos> <eos> and the staff are too much . <eos> <eos> . <eos> <eos> . <eos> <eos> and the staff were too . <eos> <eos> . <eos> <eos> . <eos> <eos> and the staff were too . <eos>
no one of no , but not even great . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos>
not , it was a little little and bland . <eos> . <eos> <eos> . <eos> <eos> , and not a good . <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> .
the chicken and tasted like and was extremely rude . <eos> <eos> . <eos> <eos> and the chicken and cheese . <eos> . <eos> <eos> . <eos> and the chicken and cheese . <eos> . <eos> <eos> . <eos> <eos> and the staff . <eos> . <eos> . <eos> <eos>
the food was ok , and nothing , and tasted . <eos> <eos> . <eos> , and the staff . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos>
and the staff are rude and rude and rude . <eos> <eos> . <eos> and the staff are rude and rude . <eos> <eos> . <eos> <eos> and the staff are rude and rude . <eos> <eos> . <eos> <eos> and the staff are rude and rude . <eos> <eos>
the worst are i 've ever been to . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> .
for the first of time for the food . <eos> <eos> . <eos> <eos> for the food and the manager . <eos> . <eos> <eos> . <eos> <eos> for the food . <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> .
( ( ( ) ) was horrible . <eos> <eos> . <eos> <eos> ) ) ) ) ) ) . <eos> <eos> . <eos> <eos> ) ) ) ) ) ) . <eos> . <eos> <eos> . <eos> <eos> ) ) ) ) ) . <eos> . <eos> <eos> .
it was not that the food was ok . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos>
i do n't know how this in the worst ! <eos> . <eos> <eos> i have to have the worst ! <eos> . <eos> <eos> . <eos> <eos> i have to the worst ! <eos> . <eos> <eos> . <eos> <eos> i have to the worst ! <eos> . <eos>
we ordered our chicken and ordered chicken and very disappointed . <eos> <eos> . <eos> and it did n't care . <eos> . <eos> . <eos> <eos> and they were very disappointed . <eos> . <eos> . <eos> . <eos> <eos> and they were very disappointed . <eos> . <eos>
their chicken chicken chicken is really bland . <eos> <eos> . <eos> <eos> and the chicken are pretty bland . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> <eos> .
i will not be going to this location ! <eos> ! <eos> <eos> to be to go back . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> to be . <eos> . <eos> <eos> . <eos> <eos> to be back . <eos> <eos> . <eos> <eos> . <eos>
if you could give _num_ stars for a customer service . <eos> <eos> <eos> to be the food here . <eos> <eos> . <eos> <eos> . <eos> <eos> to be a customer service . <eos> <eos> . <eos> <eos> . <eos> <eos> to be a customer . <eos> <eos> .
it 's just just just like the food . <eos> . <eos> <eos> and it was n't that . <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos>
we will never go back the food . <eos> . <eos> <eos> . <eos> and we have the money . <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> . <eos> . <eos> <eos> . <eos> <eos> . <eos> <eos> . <eos> . <eos> <eos> . <eos> <eos>
