i can tell that they are n't able as they did it would . . <eos>
do if they do make it food that would be in to do it . <eos>
nothing to the and and cooked the and the chicken was dry as dry . <eos>
the meat tasted old and i could he had made my in my mouth . <eos>
i 've tried _num_ different dishes and all were were mediocre average at best . <eos>
i just left , probably have have a a few weeks for the dog . <eos>
the chicken parm mein was the worst of of the i had ever had . <eos>
the chicken was the dish was good but the sauce were way too much . <eos>
ok , we got our coffee and will not be to this location . <eos> the
if you go go to one star those instead the new one . . <eos> the
i saw i said as my husband was very all with our party . <eos> the
i can not wait to see this establishment due to to the kitchen . <eos> the
but , , it 's just nothing anything special and and not overpriced . <eos> the
so , , my come here with a bad and go sit down . <eos> the
all on that point , i give it a _num_ out of _num_ . <eos> the
i did n't see it without any more than any other . . <eos> the the
almost a little more sour cream and the sauce in my mouth . <eos> the the
plus and and and a hurry n't look well to of way . <eos> the the
he said said it did n't see how as a a problem . <eos> the the
she was very rude and disrespectful and if my was my fault . <eos> the the
seems managed into , i would never recommend anyone stay here again . <eos> the the
oh , there was zero in this restaurant and on the floor . <eos> the the
this place 's food does not even taste like like it food . <eos> the the
it is literally rice made me look at rice sour sauce sauce . <eos> the the
the place was pretty busy , which is like a lot sign . <eos> the the
gave me a little refund time and she there and minutes later . <eos> the the
we also ordered a red oil and a turkey sausage dip . <eos> the the the
i guess customer 's service is only good at some point . <eos> the the the
i asked her name she asked and she was my card ! <eos> the the the
do n't ever expect the atmosphere to be nice or friendly . <eos> the the the
ok i did not get sick until _num_ hours to lunch . <eos> the the the
fast food poisoning style tea like fast food at food this . <eos> the the the
the chicken parm to be pretty good but but really tasted . <eos> the the the
this is the worst starbucks i have ever gone to . <eos> the the the the
i was charged $ for my of my _num_ meals . <eos> the the the the
the pool area is not the best part of them . <eos> the the the the
either she had no problem what i was about about . <eos> the the the the
but that would one would help me the the correct . <eos> the the the the
they were rude and have other and to the customers . <eos> the the the the
well i took one bite and did not eat . . <eos> the the the the
but ... almost does not have good chinese food . . <eos> the the the the
its like sitting in a middle of a long door . <eos> the the the the
i ordered the turkey chicken chicken ... it was awful . <eos> the the the the
here 's the thing that the sandwich was $ _num_ . <eos> the the the the
upon entering , i noticed the club itself empty . <eos> the the the the the
the new and was smelled were rude and rude . <eos> the the the the the
she was ignored ignored and almost rude at that . <eos> the the the the the
who who answered the phone a a bad experience . <eos> the the the the the
really , you could n't give the the receipt ? <eos> the the the the the
is that a good thing and a bad thing ? <eos> the the the the the
`` they are money crap i do n't know . <eos> the the the the the
there is just no other way to say it . <eos> the the the the the
was told it would be ready in _num_ minutes . <eos> the the the the the
if i could give a _num_ i would . <eos> the the the the the the
i do n't see what the hype is . <eos> the the the the the the
she said free dogs are no longer welcome . <eos> the the the the the the
anyway , we decided this place a visit . <eos> the the the the the the
first time here , but never to return . <eos> the the the the the the
got the next the next day , ugh . <eos> the the the the the the
so disappointing , at least it was cheap . <eos> the the the the the the
i avoid this store from now on . <eos> the the the the the the the
this is absolutely the worst starbucks ever . <eos> the the the the the the the
the pharmacy location location is even worse . <eos> the the the the the the the
the service is incredibly rude and unprofessional . <eos> the the the the the the the
the food is worst tasting as boring . <eos> the the the the the the the
tried this place for lunch last week . <eos> the the the the the the the
that goes them _num_ minutes to make . <eos> the the the the the the the
and she gave me _num_ more . . <eos> the the the the the the the
however i did not enjoy the food . <eos> the the the the the the the
worst chinese food i 've ever had . <eos> the the the the the the the
i sat there for _num_ hours . <eos> the the the the the the the the
and and totally how that happen . <eos> the the the the the the the the
`` advertising at its best . . <eos> the the the the the the the the
the wifi smells , really really . <eos> the the the the the the the the
the people people here are terrible . <eos> the the the the the the the the
it 's very disappointing and unacceptable . <eos> the the the the the the the the
staff is rude and not helpful . <eos> the the the the the the the the
it is not really spicy rice . <eos> the the the the the the the the
food was not great at all . <eos> the the the the the the the the
_num_ stars because it 's cheap . <eos> the the the the the the the the
the beans are horrible and gross . <eos> the the the the the the the the
some old look people people . <eos> the the the the the the the the the
i was there _num_ night . <eos> the the the the the the the the the
this place is a mess . <eos> the the the the the the the the the
awful , awful , awful ! <eos> the the the the the the the the the
what a rude staff ! <eos> the the the the the the the the the the
wo n't be back . <eos> the the the the the the the the the the
avoid at all costs ! <eos> the the the the the the the the the the
worst customer service ever ! <eos> the the the the the the the the the the
i ordered chicken strips . <eos> the the the the the the the the the the
they get screwed right . <eos> the the the the the the the the the the
not not great either . <eos> the the the the the the the the the the
not a good sign . <eos> the the the the the the the the the the
this place is filthy ! <eos> the the the the the the the the the the
rude rude rude ! <eos> the the the the the the the the the the the
_num_ hours ! <eos> the the the the the the the the the the the the
no stars ! <eos> the the the the the the the the the the the the
very disappointed . <eos> the the the the the the the the the the the the
so disappointed . <eos> the the the the the the the the the the the the
terrible . <eos> the the the the the the the the the the the the the
